player,PTS,AST,TRB,BLK,TOV,X2P_p,X3P_p,FG_p,FT_p,position_5
Al Horford,14.3,2.7,8.9,1.2,1.6,0.545,0.34,0.535,0.743,center
Allan Houston,17.3,2.4,2.9,0.2,2.1,0.46,0.402,0.444,0.863,shooting guard
Allen Iverson,26.7,6.2,3.7,0.2,3.6,0.448,0.313,0.425,0.78,point guard
Alonzo Mourning,17.1,1.1,8.5,2.8,2.6,0.53,0.247,0.527,0.692,center
Amar'e Stoudemire,18.9,1.2,7.8,1.2,2.3,0.54,0.236,0.537,0.761,power forward
Andre Drummond,13.2,0.6,12.6,1.6,1.5,0.554,0.25,0.553,0.38,center
Andre Iguodala,13.5,4.6,5.4,0.5,2.1,0.509,0.334,0.462,0.715,small forward
Andrei Kirilenko,11.8,2.7,5.5,1.8,1.9,0.51,0.31,0.474,0.754,small forward
Andrew Bynum,11.5,1.2,7.7,1.6,1.5,0.557,0.111,0.556,0.69,center
Antawn Jamison,18.5,1.6,7.5,0.4,1.6,0.477,0.346,0.451,0.724,power forward
Anthony Davis,20.8,1.7,9.7,2.4,1.6,0.524,0.281,0.516,0.78,power forward
Antoine Walker,17.5,3.5,7.7,0.5,2.8,0.45,0.325,0.414,0.633,power forward
Antonio Davis,10,1.1,7.5,1,1.5,0.449,0.087,0.448,0.727,power forward
Antonio McDyess,12,1.3,7.5,1.1,1.6,0.499,0.117,0.497,0.67,power forward
Baron Davis,16.1,7.2,3.8,0.4,2.8,0.456,0.32,0.409,0.711,point guard
Ben Wallace,5.7,1.3,9.6,2,1,0.477,0.137,0.474,0.414,center
Blake Griffin,21.5,4,9.6,0.6,2.5,0.527,0.271,0.521,0.661,power forward
Brad Miller,11.2,2.8,7.1,0.7,1.6,0.494,0.33,0.48,0.804,center
Brandon Roy,18.8,4.7,4.3,0.2,1.8,0.485,0.348,0.459,0.8,shooting guard
Brook Lopez,18.3,1.4,7.4,1.7,2,0.513,0.097,0.511,0.791,center
Carlos Boozer,16.2,2.2,9.5,0.4,2.1,0.522,0.071,0.521,0.722,power forward
Carmelo Anthony,24.9,3.2,6.6,0.5,2.9,0.475,0.344,0.453,0.812,small forward
Caron Butler,14.1,2.3,5,0.2,1.8,0.456,0.348,0.434,0.847,small forward
Cedric Ceballos,14.3,1.2,5.3,0.3,1.6,0.524,0.309,0.5,0.753,small forward
Chauncey Billups,15.2,5.4,2.9,0.2,2,0.435,0.387,0.415,0.894,point guard
Chris Bosh,19.2,2,8.5,1,2,0.506,0.335,0.494,0.799,power forward
Chris Gatling,10.3,0.7,5.3,0.5,1.5,0.523,0.249,0.513,0.66,power forward
Chris Kaman,11.2,1.3,7.6,1.3,2.1,0.49,0.042,0.489,0.743,center
Chris Paul,18.8,9.9,4.4,0.1,2.4,0.503,0.365,0.473,0.864,point guard
Chris Webber,20.7,4.2,9.8,1.4,2.8,0.49,0.299,0.479,0.649,power forward
Christian Laettner,12.8,2.6,6.7,0.8,2.2,0.49,0.261,0.48,0.82,power forward
Dale Davis,8,0.9,7.9,1.2,1,0.53,0,0.53,0.562,power forward
Damian Lillard,21.4,6.3,3.8,0.3,2.8,0.466,0.37,0.426,0.87,point guard
Danny Granger,16.8,1.9,4.9,0.8,1.9,0.463,0.38,0.434,0.848,small forward
David Lee,14.2,2.3,9.2,0.4,1.8,0.534,0.034,0.533,0.774,power forward
David West,14.8,2.2,6.9,0.8,1.7,0.496,0.256,0.492,0.819,power forward
DeMar DeRozan,18.1,2.6,3.9,0.3,1.9,0.459,0.283,0.442,0.825,shooting guard
DeMarcus Cousins,20.2,2.7,10.8,1.2,3.4,0.468,0.29,0.46,0.728,center
Deron Williams,16.8,8.3,3.2,0.3,2.9,0.482,0.357,0.445,0.822,point guard
Derrick Coleman,16.5,2.5,9.3,1.3,2.6,0.465,0.295,0.447,0.769,power forward
Derrick Rose,19.7,6.2,3.7,0.4,2.9,0.478,0.302,0.448,0.813,point guard
Devin Harris,11.7,4.4,2.3,0.2,1.9,0.482,0.324,0.437,0.794,point guard
Dikembe Mutombo,9.8,1,10.3,2.8,1.8,0.518,0,0.518,0.684,center
Dirk Nowitzki,22,2.5,7.9,0.9,1.8,0.498,0.381,0.474,0.879,power forward
Draymond Green,8.7,3.4,6.5,1,1.7,0.494,0.342,0.44,0.69,small forward
Dwight Howard,17.8,1.5,12.7,2.1,3,0.585,0.093,0.582,0.568,center
Dwyane Wade,23.7,5.8,4.8,0.9,3.4,0.508,0.284,0.488,0.767,shooting guard
Eddie Jones,14.8,2.9,4,0.6,1.6,0.474,0.373,0.437,0.809,shooting guard
Elton Brand,15.9,2.1,8.5,1.7,1.9,0.501,0.095,0.5,0.736,power forward
Gary Payton,16.3,6.7,3.9,0.2,2.3,0.501,0.317,0.466,0.729,point guard
Gerald Wallace,11.9,2.1,5.8,0.8,1.8,0.502,0.312,0.469,0.709,small forward
Gilbert Arenas,20.7,5.3,3.9,0.2,3.2,0.458,0.351,0.421,0.803,point guard
Glenn Robinson,20.7,2.7,6.1,0.6,3.1,0.48,0.34,0.459,0.82,small forward
Grant Hill,16.7,4.1,6,0.6,2.4,0.493,0.314,0.483,0.769,small forward
Isaiah Thomas,17.1,5,2.6,0.1,2.2,0.48,0.362,0.437,0.863,point guard
Jamaal Magloire,7.2,0.6,6.5,0.9,1.5,0.481,0,0.48,0.639,center
Jamal Mashburn,19.1,4,5.4,0.2,2.6,0.439,0.345,0.418,0.766,small forward
Jameer Nelson,12,5.2,3.1,0.1,2.2,0.474,0.368,0.437,0.814,point guard
James Harden,21.1,4.9,4.6,0.4,3,0.494,0.368,0.443,0.855,shooting guard
Jason Kidd,12.6,8.7,6.3,0.3,2.9,0.429,0.349,0.4,0.785,point guard
Jayson Williams,7.3,0.6,7.5,0.6,1.1,0.442,0.125,0.44,0.606,power forward
Jeff Teague,12.1,5.2,2.2,0.3,2.2,0.476,0.355,0.448,0.838,point guard
Jermaine O'Neal,13.2,1.4,7.2,1.8,1.9,0.469,0.147,0.467,0.715,center
Jerry Stackhouse,16.9,3.3,3.2,0.5,2.7,0.441,0.309,0.409,0.822,shooting guard
Jimmy Butler,13.6,2.6,4.5,0.5,1.2,0.48,0.328,0.445,0.812,shooting guard
Joakim Noah,9.3,3,9.4,1.4,1.8,0.492,0,0.49,0.711,center
Joe Johnson,16.9,4.2,4.1,0.2,2,0.472,0.372,0.442,0.801,shooting guard
John Wall,18,9,4.5,0.6,3.8,0.451,0.319,0.429,0.789,point guard
Josh Howard,14.3,1.6,5.7,0.5,1.4,0.471,0.332,0.448,0.77,small forward
Jrue Holiday,14.1,6.1,3.5,0.4,2.7,0.46,0.368,0.439,0.801,point guard
Juwan Howard,13.4,2.2,6.1,0.3,2,0.47,0.12,0.469,0.764,power forward
Kawhi Leonard,14.3,2,6.3,0.7,1.2,0.54,0.391,0.499,0.828,small forward
Kenny Anderson,12.6,6.1,3.1,0.1,2.1,0.436,0.346,0.421,0.79,point guard
Kenyon Martin,12.3,1.9,6.8,1.1,1.7,0.492,0.234,0.483,0.629,power forward
Kevin Durant,27.4,3.7,7,1,3.2,0.517,0.38,0.483,0.882,small forward
Kevin Garnett,17.8,3.7,10,1.4,2.2,0.504,0.275,0.497,0.789,power forward
Kevin Love,18.3,2.4,11.5,0.5,2,0.478,0.363,0.444,0.815,power forward
Klay Thompson,18.4,2.3,3.3,0.5,1.8,0.472,0.42,0.45,0.853,shooting guard
Kobe Bryant,25,4.7,5.2,0.5,3,0.479,0.329,0.447,0.837,shooting guard
Kyle Korver,10,1.8,3.1,0.3,1.1,0.46,0.429,0.442,0.879,shooting guard
Kyle Lowry,13.5,5.7,4,0.3,2.2,0.46,0.356,0.419,0.796,point guard
Kyrie Irving,20.8,5.5,3.4,0.3,2.8,0.481,0.378,0.452,0.865,point guard
LaMarcus Aldridge,19.2,1.9,8.4,1,1.6,0.492,0.257,0.487,0.802,power forward
Larry Johnson,16.2,3.3,7.5,0.4,2,0.505,0.332,0.484,0.766,power forward
Latrell Sprewell,18.3,4,4.1,0.4,2.7,0.451,0.337,0.425,0.804,shooting guard
LeBron James,27.2,6.9,7.2,0.8,3.4,0.538,0.34,0.498,0.744,small forward
Luol Deng,15.5,2.4,6.2,0.5,1.7,0.482,0.334,0.458,0.771,small forward
Manu Ginobili,14,4,3.7,0.3,2.1,0.501,0.369,0.45,0.827,shooting guard
Marc Gasol,14.3,3.1,7.8,1.5,2,0.507,0.182,0.503,0.764,center
Mehmet Okur,13.5,1.7,7,0.7,1.6,0.484,0.375,0.458,0.797,center
Metta World Peace,13.5,2.7,4.6,0.5,1.8,0.447,0.34,0.415,0.716,small forward
Michael Finley,15.7,2.9,4.4,0.3,1.5,0.467,0.375,0.444,0.811,shooting guard
Michael Redd,19,2.1,3.8,0.1,1.5,0.475,0.38,0.447,0.838,shooting guard
Mo Williams,13.2,4.9,2.8,0.1,2.3,0.46,0.378,0.434,0.871,point guard
Nick Van Exel,14.4,6.6,2.9,0.1,2.1,0.433,0.357,0.405,0.794,point guard
Pau Gasol,18.2,3.3,9.5,1.7,2.3,0.514,0.297,0.51,0.755,power forward
Paul George,16.9,3.1,6.2,0.4,2.5,0.462,0.364,0.425,0.838,small forward
Paul Millsap,13.9,2.2,7.4,1,1.8,0.516,0.334,0.499,0.732,power forward
Paul Pierce,20,3.6,5.7,0.6,2.7,0.478,0.369,0.445,0.807,small forward
Peja Stojakovic,17,1.8,4.7,0.1,1.4,0.484,0.401,0.45,0.895,small forward
Penny Hardaway,15.2,5,4.5,0.4,2.5,0.489,0.316,0.458,0.774,point guard
Rajon Rondo,11,8.7,4.8,0.1,2.9,0.488,0.289,0.468,0.606,point guard
Rashard Lewis,14.9,1.7,5.2,0.5,1.5,0.491,0.386,0.452,0.805,small forward
Rasheed Wallace,14.4,1.8,6.7,1.3,1.5,0.508,0.336,0.467,0.721,power forward
Ray Allen,18.9,3.4,4.1,0.2,2.1,0.485,0.4,0.452,0.894,shooting guard
Richard Hamilton,17.1,3.4,3.1,0.1,2.1,0.463,0.346,0.449,0.852,shooting guard
Roy Hibbert,10.4,1.4,6.5,1.8,1.6,0.464,0.25,0.463,0.753,center
Russell Westbrook,21.5,7.6,5.6,0.3,3.7,0.461,0.302,0.435,0.818,point guard
Sam Cassell,15.7,6,3.2,0.2,2.4,0.477,0.331,0.454,0.861,point guard
Shaquille O'Neal,23.7,2.5,10.9,2.3,2.7,0.583,0.045,0.582,0.527,center
Shareef Abdur-Rahim,18.1,2.5,7.5,0.8,2.6,0.48,0.297,0.472,0.81,power forward
Shawn Marion,15.2,1.9,8.7,1.1,1.5,0.513,0.331,0.484,0.81,small forward
Stephen Curry,22.4,6.9,4.3,0.2,3.2,0.503,0.444,0.477,0.902,point guard
Stephon Marbury,19.3,7.6,3,0.1,3,0.465,0.325,0.433,0.784,point guard
Steve Francis,18.1,6,5.6,0.4,3.5,0.451,0.341,0.429,0.797,point guard
Steve Nash,14.3,8.5,3,0.1,2.9,0.518,0.428,0.49,0.904,point guard
Steve Smith,14.3,3.1,3.2,0.3,1.8,0.476,0.358,0.44,0.845,shooting guard
Terrell Brandon,13.8,6.1,3,0.3,2,0.462,0.355,0.448,0.873,point guard
Theo Ratliff,7.2,0.6,5.7,2.4,1.2,0.496,0,0.496,0.71,center
Tim Duncan,19,3,10.8,2.2,2.4,0.509,0.179,0.506,0.696,power forward
Tom Gugliotta,13,2.8,7.3,0.6,2.3,0.467,0.284,0.451,0.757,power forward
Tony Parker,16.6,5.9,2.9,0.1,2.4,0.513,0.327,0.494,0.753,point guard
Tracy McGrady,19.6,4.4,5.6,0.9,2.2,0.461,0.338,0.435,0.746,shooting guard
Tyrone Hill,9.4,0.8,8.6,0.5,1.6,0.503,0,0.502,0.643,power forward
Tyson Chandler,8.7,0.9,9.3,1.3,1.5,0.592,0,0.591,0.644,center
Vin Baker,15,1.9,7.4,1,2.2,0.49,0.215,0.485,0.638,center
Vince Carter,18.8,3.4,4.6,0.6,1.9,0.462,0.373,0.439,0.8,shooting guard
Wally Szczerbiak,14.1,2.4,4,0.2,1.5,0.505,0.406,0.485,0.86,shooting guard
Yao Ming,19,1.6,9.2,1.9,2.7,0.525,0.2,0.524,0.833,center
Zach Randolph,17,1.8,9.4,0.3,2.1,0.48,0.26,0.473,0.765,power forward
Zydrunas Ilgauskas,13,1.1,7.3,1.6,1.8,0.478,0.31,0.476,0.78,center
