player,number_of_selections,years
Kareem Abdul-Jabbar,19,1970–1977; 1979–1989
Kobe Bryant,18,1998; 2000–2016
Tim Duncan,15,1998; 2000–2011; 2013; 2015
Kevin Garnett,15,1997–1998; 2000–2011; 2013
Shaquille O'Neal,15,1993–1998; 2000–2007; 2009
Michael Jordan,14,1985–1993; 1996–1998; 2002–2003
Karl Malone,14,1988–1998; 2000–2002
Jerry West,14,1961–1974
Wilt Chamberlain,13,1960–1969; 1971–1973
Bob Cousy,13,1951–1963
John Havlicek,13,1966–1978
Dirk Nowitzki,13,2002–2012; 2014–2015
Larry Bird,12,1980–1988; 1990–1992 
Elvin Hayes,12,1969–1980
LeBron James,12,2005–2016
Magic Johnson,12,1980; 1982–1992
Moses Malone,12,1978–1989
Hakeem Olajuwon,12,1985–1990; 1992–1997
Oscar Robertson,12,1961–1972
Bill Russell,12,1958–1969
Dolph Schayes,12,1951–1962
Isiah Thomas,12,1982–1993
Dwyane Wade,12,2005–2016
Charles Barkley,11,1987–1997
Elgin Baylor,11,1959–1965; 1967–1970
Chris Bosh,11,2006–2016
Julius Erving,11,1977–1987
Patrick Ewing,11,1986; 1988–1997
Allen Iverson,11,2000–2010
Bob Pettit,11,1955–1965
Ray Allen,10,2000–2002; 2004–2009; 2011
Paul Arizin,10,1951–1952; 1955–1962
Clyde Drexler,10,1986; 1988–1994; 1996–1997
Hal Greer,10,1961–1970
Jason Kidd,10,1996; 1998; 2000–2004; 2007–2008; 2010
Paul Pierce,10,2002–2006; 2008–2012
David Robinson,10,1990–1996; 1998; 2000–2001
John Stockton,10,1989–1997; 2000
Carmelo Anthony,9,2007–2008; 2010–2016
George Gervin,9,1977–1985
Robert Parish,9,1981–1987; 1990–1991
Chris Paul,9,2008–2016
Gary Payton,9,1994–1998; 2000–2003
Lenny Wilkens,9,1963–1965; 1967–1971; 1973
Dominique Wilkins,9,1986–1994
Rick Barry,8,1966–1967; 1973–1978
Vince Carter,8,2000–2007
Dave DeBusschere,8,1966–1968; 1970–1974
Alex English,8,1982–1989
Larry Foust,8,1951–1956; 1958–1959
Dwight Howard,8,2007–2014
Bob Lanier,8,1972–1975; 1977–1979; 1982
Dikembe Mutombo,8,1992; 1995–1998; 2000–2002
Steve Nash,8,2002–2003; 2005–2008; 2010; 2012
Bill Sharman,8,1953–1960
Yao Ming,8,2003–2009; 2011
Dave Bing,7,1968–1969; 1971; 1973–1976
Dave Cowens,7,1972–1978
Kevin Durant,7,2010–2016
Walt Frazier,7,1970–1976
Harry Gallatin,7,1951–1957
Grant Hill,7,1995–1998; 2000–2001; 2005
