player;nba_draft;listed_height;listed_weight;nationality;college;high_school;playing_career;position;draft_year;draft_round;draft_pick
A. C. Green;1985 / Round: 1 / Pick: 23rd overall;6 ft 9 in (2.06 m);220 lb (100 kg);American;Oregon State (1981–1985);Benson Polytechnic (Portland, Oregon);1985–2001;Power forward;1985 ; Round: 1 ; Pick: 23rd overall
Adrian Dantley;1976 / Round: 1 / Pick: 6th overall;6 ft 5 in (1.96 m);208 lb (94 kg);;Notre Dame (1973–1976);DeMatha Catholic (Hyattsville, Maryland);1976–1991;Small forward;1976 ; Round: 1 ; Pick: 6th overall
Adrian Smith;1958 / Round: 15 / Pick: 85th overall;6 ft 1 in (1.85 m);180 lb (82 kg);American;Northeast Mississippi CC (1954–1956) Kentucky (1956–1958);Farmington (Farmington, Kentucky);1961–1972;Point guard;1958 ; Round: 15 ; Pick: 85th overall
Al Horford;2007 / Round: 1 / Pick: 3rd overall;6 ft 10 in (2.08 m);245 lb (111 kg);Dominican;Florida (2004–2007);Grand Ledge (Grand Ledge, Michigan);2007–present;Center / Power forward;2007 ; Round: 1 ; Pick: 3rd overall
Alex English;1976 / Round: 2 / Pick: 23rd overall;6 ft 7 in (2.01 m);190 lb (86 kg);American;South Carolina (1972–1976);Dreher (Columbia, South Carolina);1976–1992;Small forward;1976 ; Round: 2 ; Pick: 23rd overall
Alex Groza;1949 / Round: 1 / Pick: 2nd overall;6 ft 7 in (2.01 m);218 lb (99 kg);American;Kentucky (1945–1949);Martins Ferry (Martins Ferry, Ohio);1949–1951;Center;1949 ; Round: 1 ; Pick: 2nd overall
Allan Houston;1993 / Round: 1 / Pick: 11th overall;6 ft 6 in (1.98 m);205 lb (93 kg);American;Tennessee (1989–1993);Ballard (Louisville, Kentucky);1993–2005;Shooting guard;1993 ; Round: 1 ; Pick: 11th overall
Allen Iverson;1996 / Round: 1 / Pick: 1st overall;6 ft 0 in (1.83 m);165 lb (75 kg);American;Georgetown (1994–1996);Bethel (Hampton, Virginia);1996–2011;Guard;1996 ; Round: 1 ; Pick: 1st overall
Alonzo Mourning;1992 / Round: 1 / Pick: 2nd overall;6 ft 10 in (2.08 m);240 lb (109 kg);American;Georgetown (1988–1992);Indian River (Chesapeake, Virginia);1992–2008;Center / Power forward;1992 ; Round: 1 ; Pick: 2nd overall
Alvan Adams;1975 / Round: 1 / Pick: 4th overall;6 ft 9 in (2.06 m);210 lb (95 kg);American;Oklahoma (1972–1975);Putnam City (Oklahoma City, Oklahoma);1975–1988;Power forward / Center;1975 ; Round: 1 ; Pick: 4th overall
Alvin Robertson;1984 / Round: 1 / Pick: 7th overall;6 ft 3 in (1.91 m);185 lb (84 kg);American;Crowder College (1980–1981) Arkansas (1981–1984);Barberton (Barberton, Ohio);1984–2000;Shooting guard;1984 ; Round: 1 ; Pick: 7th overall
