;2P;2PA;2P_p;3P;3PA;3P_p;AST;BLK;DRB;FG;FGA;FG_p;FT;FTA;FT_p;G;GS;MP;ORB;PF;PTS;STL;TOV;TRB;eFG_p
Al Horford;5.9;10.9;.545;0.2;0.6;.340;2.7;1.2;6.5;6.1;11.5;.535;1.9;2.5;.743;578;574;33.5;2.4;2.4;14.3;0.8;1.6;8.9;.543
Allan Houston;4.8;10.5;.460;1.6;3.9;.402;2.4;0.2;2.5;6.4;14.3;.444;3.1;3.6;.863;839;727;33.7;0.4;2.5;17.3;0.7;2.1;2.9;.498
Allen Iverson;8.1;18.1;.448;1.2;3.7;.313;6.2;0.2;2.9;9.3;21.8;.425;7.0;8.9;.780;914;901;41.1;0.8;1.9;26.7;2.2;3.6;3.7;.452
Alonzo Mourning;6.1;11.5;.530;0.0;0.1;.247;1.1;2.8;5.9;6.1;11.6;.527;4.8;7.0;.692;838;686;31.0;2.6;3.4;17.1;0.5;2.6;8.5;.529
Amar'e Stoudemire;7.0;12.9;.540;0.0;0.2;.236;1.2;1.2;5.4;7.0;13.0;.537;4.9;6.4;.761;846;696;31.0;2.4;3.2;18.9;0.8;2.3;7.8;.538
Andre Drummond;5.7;10.3;.554;0.0;0.0;.250;0.6;1.6;7.9;5.7;10.3;.553;1.8;4.7;.380;304;254;29.7;4.7;3.1;13.2;1.2;1.5;12.6;.554
Andre Iguodala;3.9;7.6;.509;0.9;2.8;.334;4.6;0.5;4.4;4.8;10.4;.462;2.9;4.1;.715;900;759;35.4;1.0;1.9;13.5;1.6;2.1;5.4;.507
Andrei Kirilenko;3.5;6.8;.510;0.5;1.5;.310;2.7;1.8;3.7;3.9;8.3;.474;3.5;4.6;.754;797;546;30.0;1.8;2.0;11.8;1.4;1.9;5.5;.502
Andrew Bynum;4.6;8.2;.557;0.0;0.0;.111;1.2;1.6;5.3;4.6;8.2;.556;2.4;3.4;.690;418;319;25.6;2.4;2.5;11.5;0.3;1.5;7.7;.556
Antawn Jamison;6.0;12.6;.477;1.1;3.1;.346;1.6;0.4;5.2;7.1;15.7;.451;3.3;4.5;.724;1083;864;34.8;2.4;2.4;18.5;1.0;1.6;7.5;.485
Anthony Davis;7.8;14.9;.524;0.1;0.5;.281;1.7;2.4;7.1;8.0;15.4;.516;4.7;6.0;.780;260;255;33.9;2.6;2.5;20.8;1.3;1.6;9.7;.521
Antoine Walker;5.3;11.7;.450;1.6;4.8;.325;3.5;0.5;5.6;6.8;16.5;.414;2.3;3.7;.633;893;707;35.3;2.1;2.8;17.5;1.2;2.8;7.7;.461
Antonio Davis;3.5;7.9;.449;0.0;0.0;.087;1.1;1.0;4.9;3.5;7.9;.448;3.0;4.1;.727;903;524;28.9;2.6;2.8;10.0;0.5;1.5;7.5;.448
Antonio McDyess;5.0;10.0;.499;0.0;0.1;.117;1.3;1.1;5.1;5.0;10.0;.497;2.1;3.1;.670;1015;645;27.6;2.4;3.0;12.0;0.8;1.6;7.5;.497
Baron Davis;4.3;9.3;.456;1.6;5.0;.320;7.2;0.4;2.9;5.9;14.3;.409;2.8;3.9;.711;835;692;34.2;0.9;2.8;16.1;1.8;2.8;3.8;.465
Ben Wallace;2.4;4.9;.477;0.0;0.0;.137;1.3;2.0;6.5;2.4;5.0;.474;1.0;2.5;.414;1088;912;29.5;3.2;1.9;5.7;1.3;1.0;9.6;.475
Blake Griffin;8.3;15.7;.527;0.1;0.4;.271;4.0;0.6;7.0;8.4;16.0;.521;4.6;7.0;.661;410;410;35.3;2.5;3.1;21.5;1.0;2.5;9.6;.524
Brad Miller;3.7;7.6;.494;0.2;0.7;.330;2.8;0.7;5.2;4.0;8.3;.480;3.0;3.8;.804;868;598;28.3;2.0;2.7;11.2;0.7;1.6;7.1;.494
Brandon Roy;5.8;12.0;.485;1.0;2.8;.348;4.7;0.2;3.2;6.8;14.9;.459;4.2;5.2;.800;326;300;35.5;1.1;1.9;18.8;1.0;1.8;4.3;.492
Brook Lopez;7.2;14.0;.513;0.0;0.1;.097;1.4;1.7;4.6;7.2;14.0;.511;4.0;5.0;.791;487;452;32.6;2.8;2.8;18.3;0.6;2.0;7.4;.511
Carlos Boozer;6.8;13.0;.522;0.0;0.0;.071;2.2;0.4;7.1;6.8;13.0;.521;2.6;3.7;.722;861;775;31.2;2.4;3.0;16.2;0.9;2.1;9.5;.521
Carmelo Anthony;7.8;16.3;.475;1.1;3.3;.344;3.2;0.5;4.8;8.9;19.6;.453;6.0;7.4;.812;902;902;36.4;1.9;2.9;24.9;1.1;2.9;6.6;.482
Caron Butler;4.4;9.6;.456;0.8;2.4;.348;2.3;0.2;3.7;5.2;12.0;.434;2.8;3.3;.847;881;732;32.2;1.3;2.4;14.1;1.3;1.8;5.0;.469
Cedric Ceballos;5.2;10.0;.524;0.4;1.2;.309;1.2;0.3;3.3;5.6;11.2;.500;2.7;3.6;.753;609;313;24.2;2.1;1.8;14.3;0.7;1.6;5.3;.518
Chauncey Billups;2.8;6.4;.435;1.8;4.5;.387;5.4;0.2;2.4;4.5;10.9;.415;4.3;4.8;.894;1043;937;31.6;0.5;2.1;15.2;1.0;2.0;2.9;.495
Chris Bosh;6.6;13.1;.506;0.3;1.0;.335;2.0;1.0;6.3;7.0;14.1;.494;5.0;6.3;.799;893;881;35.8;2.2;2.4;19.2;0.8;2.0;8.5;.506
Chris Gatling;3.9;7.5;.523;0.1;0.3;.249;0.7;0.5;3.6;4.0;7.8;.513;2.2;3.4;.660;700;86;19.7;1.8;2.7;10.3;0.7;1.5;5.3;.517
Chris Kaman;4.7;9.5;.490;0.0;0.0;.042;1.3;1.3;5.6;4.7;9.6;.489;1.8;2.5;.743;735;538;26.7;2.0;2.7;11.2;0.4;2.1;7.6;.489
Chris Paul;5.5;10.9;.503;1.1;3.1;.365;9.9;0.1;3.7;6.6;14.0;.473;4.4;5.1;.864;773;773;35.9;0.7;2.5;18.8;2.3;2.4;4.4;.513
Chris Webber;8.3;17.0;.490;0.3;1.1;.299;4.2;1.4;7.0;8.7;18.1;.479;3.0;4.7;.649;831;827;37.1;2.7;3.2;20.7;1.4;2.8;9.8;.487
Christian Laettner;4.5;9.3;.490;0.1;0.4;.261;2.6;0.8;4.8;4.6;9.7;.480;3.4;4.2;.820;868;692;29.7;1.9;3.2;12.8;1.1;2.2;6.7;.486
Dale Davis;3.3;6.2;.530;0.0;0.0;.000;0.9;1.2;4.8;3.3;6.2;.530;1.4;2.5;.562;1094;863;27.1;3.0;2.6;8.0;0.6;1.0;7.9;.530
Damian Lillard;4.6;9.9;.466;2.6;7.0;.370;6.3;0.3;3.3;7.2;16.9;.426;4.4;5.0;.870;321;321;36.5;0.5;2.2;21.4;0.9;2.8;3.8;.503
Danny Granger;4.0;8.6;.463;1.7;4.5;.380;1.9;0.8;3.8;5.7;13.1;.434;3.7;4.4;.848;586;431;31.5;1.2;2.8;16.8;1.0;1.9;4.9;.500
David Lee;5.8;10.8;.534;0.0;0.0;.034;2.3;0.4;6.5;5.8;10.9;.533;2.6;3.4;.774;750;495;30.4;2.7;2.7;14.2;0.8;1.8;9.2;.533
David West;5.9;12.0;.496;0.1;0.2;.256;2.2;0.8;5.0;6.0;12.2;.492;2.8;3.4;.819;893;742;30.6;1.9;2.4;14.8;0.8;1.7;6.9;.494
DeMar DeRozan;6.0;13.2;.459;0.4;1.4;.283;2.6;0.3;3.2;6.4;14.5;.442;4.9;5.9;.825;521;509;33.9;0.7;2.3;18.1;0.9;1.9;3.9;.456
DeMarcus Cousins;7.2;15.3;.468;0.2;0.7;.290;2.7;1.2;7.7;7.4;16.0;.460;5.3;7.2;.728;415;393;31.6;3.0;3.9;20.2;1.4;3.4;10.8;.467
Deron Williams;4.5;9.3;.482;1.4;3.9;.357;8.3;0.3;2.7;5.9;13.3;.445;3.6;4.3;.822;781;727;34.8;0.4;2.6;16.8;1.1;2.9;3.2;.498
Derrick Coleman;5.5;11.8;.465;0.4;1.4;.295;2.5;1.3;6.6;5.9;13.2;.447;4.3;5.5;.769;781;672;33.2;2.7;2.6;16.5;0.8;2.6;9.3;.462
Derrick Rose;6.8;14.2;.478;0.9;2.9;.302;6.2;0.4;2.8;7.6;17.0;.448;3.6;4.4;.813;406;405;35.0;0.9;1.4;19.7;0.8;2.9;3.7;.474
Devin Harris;3.1;6.4;.482;0.8;2.5;.324;4.4;0.2;2.0;3.9;8.9;.437;3.1;3.9;.794;781;445;26.2;0.3;2.3;11.7;1.1;1.9;2.3;.483
Dikembe Mutombo;3.5;6.7;.518;0.0;0.0;.000;1.0;2.8;7.1;3.5;6.7;.518;2.8;4.1;.684;1196;997;30.8;3.2;2.8;9.8;0.4;1.8;10.3;.518
Dirk Nowitzki;6.5;13.0;.498;1.3;3.3;.381;2.5;0.9;6.8;7.8;16.4;.474;5.2;5.9;.879;1340;1309;35.3;1.1;2.4;22.0;0.8;1.8;7.9;.513
